Wavelengths [nm]	Spectral Irradiance [W/cm^2/nm]
379.0	0.11205317394937984
380.0	0.11915861918033678
381.0	0.13141294122721708
382.0	0.1505121900486989
383.0	0.17716028724476615
384.0	0.21457990238535013
385.0	0.26701131238646864
386.0	0.3236113659575055
387.0	0.42729989419698033
388.0	0.535863277277122
389.0	0.6251336702326595
390.0	0.7318712378431178
391.0	0.8265750334580672
392.0	0.9193813616247959
393.0	0.9797145568559248
394.0	1.0225762362629773
395.0	1.051413356752541
396.0	1.0594977364653615
397.0	1.0524345154606416
398.0	1.0279569121123762
399.0	1.0079906486499204
400.0	0.992162160818477
401.0	0.9971403933089796
402.0	0.9681048544714589
403.0	0.9299564859308027
404.0	0.9641114768726999
405.0	0.9705432905199751
406.0	0.9757899128773476
407.0	0.9808105322444804
408.0	0.9873743773375964
409.0	0.9896334779282732
410.0	0.9940073408853661
411.0	0.9995619120388782
412.0	1.005670673993233
413.0	1.011205888627621
414.0	1.0185706263056191
415.0	1.025491604197047
416.0	1.025367332769554
417.0	1.0390777522600751
418.0	1.0461706562249873
419.0	1.0506909943257987
420.0	1.0501638415908974
421.0	1.054718216480296
422.0	1.0527969033591411
423.0	1.0518907916412135
424.0	1.0532048519758919
425.0	1.0500131451818955
426.0	1.051242152045776
427.0	1.0501760711521735
428.0	1.0483460840944605
429.0	1.054272649923757
430.0	1.0595044754498275
431.0	1.066555996263219
432.0	1.0746940614238782
433.0	1.0840783925701678
434.0	1.0954665705397306
435.0	1.1068217360073869
436.0	1.1172583909965843
437.0	1.1225984684234354
438.0	1.1337399430799173
439.0	1.1385867473270388
440.0	1.140039119424617
441.0	1.139712129873039
442.0	1.1358403578501444
443.0	1.1284666853277905
444.0	1.127610462620167
445.0	1.1328845783159316
446.0	1.1402544182909498
447.0	1.1547779658747945
448.0	1.175548214766558
449.0	1.2019844565328732
450.0	1.213685609552554
451.0	1.2223990512897127
452.0	1.227006230837389
453.0	1.2255655479204082
454.0	1.2190445167017263
455.0	1.219805404396638
456.0	1.225518999048823
457.0	1.2426712660280355
458.0	1.26617454952823
459.0	1.2909855241604613
460.0	1.317317305002093
461.0	1.3509603105463217
462.0	1.396328414440611
463.0	1.4417343350726781
464.0	1.4807771616238068
465.0	1.5197608386396133
466.0	1.5540965355948477
467.0	1.5768108521450255
468.0	1.5802743660955774
469.0	1.5600311152644546
470.0	1.5229243168204702
471.0	1.4801236699074358
472.0	1.4381546431764576
473.0	1.388724172328438
474.0	1.3422294706160733
475.0	1.3030807106310796
476.0	1.274655631129792
477.0	1.2514817750659337
478.0	1.246592908736024
479.0	1.2508233741900223
480.0	1.2636247965603566
481.0	1.2747005824417914
482.0	1.280758108242839
483.0	1.2789056754211097
484.0	1.2646593147508884
485.0	1.2507358399966941
486.0	1.2387925605371364
487.0	1.2332103129209933
488.0	1.24010616131081
489.0	1.2524140820366918
490.0	1.2673579993458932
491.0	1.2968691332098965
492.0	1.3199256826907617
493.0	1.3335623739438671
494.0	1.3365608414773715
495.0	1.3350184443681168
496.0	1.3302344888845388
497.0	1.3187306481448318
498.0	1.313138943056779
499.0	1.3128757157953825
500.0	1.316895222932474
501.0	1.3250715417175254
502.0	1.3331539010992934
503.0	1.3394668656523274
504.0	1.3496436443504445
505.0	1.3577049897130498
506.0	1.3585622356527638
507.0	1.3643743814384284
508.0	1.3712303630529326
509.0	1.3737985164537942
510.0	1.3832227295040347
511.0	1.3916535867721056
512.0	1.401312887404716
513.0	1.4101296649224513
514.0	1.4181942594537509
515.0	1.4224416204096386
516.0	1.4323680786542163
517.0	1.4399106823246834
518.0	1.4461473623697898
519.0	1.4497042366051587
520.0	1.455572096674006
521.0	1.4569761530337504
522.0	1.455460813727055
523.0	1.4604026410694926
524.0	1.4623163219141535
525.0	1.4629258954997626
526.0	1.4631135148110905
527.0	1.4582782059906414
528.0	1.4561920590687394
529.0	1.4545057884285246
530.0	1.4517876493432356
531.0	1.4480746488943668
532.0	1.4399308942047768
533.0	1.4341774120744135
534.0	1.4303414844841913
535.0	1.4259282201320418
536.0	1.4226916753255539
537.0	1.419274187684673
538.0	1.4181110708350981
539.0	1.419332032723693
540.0	1.4204524387032724
541.0	1.4234302404922292
542.0	1.42716871740588
543.0	1.4294919352227193
544.0	1.432333131979312
545.0	1.4362140691065435
546.0	1.4382699316427179
547.0	1.44021895349126
548.0	1.4429360923322883
549.0	1.445240443828713
550.0	1.4463004044291967
551.0	1.450788799119801
552.0	1.4529985517118935
553.0	1.4501020770032655
554.0	1.4509831779818774
555.0	1.4539470773828653
556.0	1.454063831232421
557.0	1.4535501588934072
558.0	1.4488372318883127
559.0	1.4470128287447404
560.0	1.4442546067615945
561.0	1.4413902248138786
562.0	1.4361300997433717
563.0	1.4306129071606735
564.0	1.4256637892329038
565.0	1.423134242863389
566.0	1.4207834005593702
567.0	1.4171132963594615
568.0	1.4151404769682254
569.0	1.4121690944667504
570.0	1.4126854753433626
571.0	1.4126525275244604
572.0	1.4112662165021286
573.0	1.4086608975964043
574.0	1.408973883734997
575.0	1.4099066401000135
576.0	1.409803212278526
577.0	1.4126111886304764
578.0	1.4167812376303797
579.0	1.420338646746123
580.0	1.424960677080179
581.0	1.4292820235438382
582.0	1.4337638056014599
583.0	1.4393587874102693
584.0	1.4438369630803825
585.0	1.4465060033858836
586.0	1.4489976365470947
587.0	1.4501488560664255
588.0	1.4492469683264189
589.0	1.4448356983219401
590.0	1.44121040633152
591.0	1.4357685081941136
592.0	1.428233219554361
593.0	1.4204955872424296
594.0	1.4098555716270569
595.0	1.3992494361092367
596.0	1.3914725649816033
597.0	1.3806887678260205
598.0	1.3704372467896948
599.0	1.3618150346050613
600.0	1.3558423788717462
601.0	1.3480408969308886
602.0	1.3428434435444934
603.0	1.3392590006117882
604.0	1.3340298918346927
605.0	1.331446505689018
606.0	1.3309116020196463
607.0	1.3314926202653945
608.0	1.3335612010759115
609.0	1.335446913614689
610.0	1.3398728058873195
611.0	1.3463721729779023
612.0	1.3533201043100558
613.0	1.362386419183641
